humidity,motionDetected,npkValue,rainStatus,soilMoisture30,soilMoisture60,temperature,windSpeed,Disease Label
86,1,102,Yes,88,101,23,16,Blight
83,1,132,No,50,58,32,9,Healthy
66,0,116,No,42,41,33,17,Healthy
49,1,101,Yes,78,74,34,15,Healthy
73,0,122,Yes,48,62,23,11,Healthy
55,0,120,Yes,73,80,31,10,Healthy
50,1,94,Yes,38,53,32,11,Healthy
84,0,153,Yes,41,50,36,16,Rust
71,1,105,No,78,87,21,17,Healthy
59,1,82,Yes,72,67,33,18,Healthy
77,1,113,No,96,93,38,8,Healthy
70,1,147,No,47,48,38,2,Rust
75,1,130,Yes,44,46,20,11,Healthy
46,0,115,Yes,67,78,34,10,Healthy
52,0,87,Yes,59,74,31,3,Healthy
93,1,95,Yes,49,53,18,4,Healthy
84,1,124,Yes,31,39,29,19,Healthy
90,0,89,No,88,83,34,2,Blight
75,1,124,Yes,90,100,32,7,Healthy
95,0,118,Yes,100,104,23,9,Blight
86,1,88,No,62,72,21,16,Healthy
72,1,106,No,41,47,27,3,Healthy
93,0,141,No,68,81,25,12,Wilt
72,1,146,Yes,81,83,18,12,Wilt
72,0,94,Yes,50,48,33,4,Healthy
77,0,133,Yes,79,79,36,13,Healthy
72,0,111,Yes,45,48,37,14,Rust
61,1,110,Yes,73,76,36,5,Healthy
54,1,136,No,63,77,36,17,Healthy
93,0,114,No,62,60,28,18,Healthy
84,0,80,No,56,52,27,3,Healthy
95,0,156,Yes,39,37,31,17,Wilt
81,1,133,Yes,82,89,27,7,Blight
90,0,159,Yes,42,53,37,10,Rust
86,1,131,No,37,39,25,13,Healthy
70,0,107,Yes,50,62,26,17,Healthy
58,1,125,Yes,60,73,24,15,Healthy
46,0,87,Yes,94,90,27,16,Healthy
87,1,105,No,96,110,29,16,Blight
61,1,123,Yes,52,48,23,13,Healthy
68,0,118,Yes,89,103,20,19,Healthy
49,1,88,No,55,67,20,5,Healthy
87,1,124,No,79,89,36,16,Blight
60,0,98,No,41,51,34,10,Healthy
71,0,97,No,62,71,32,16,Healthy
71,0,108,No,67,69,23,18,Healthy
79,0,154,No,91,97,22,15,Wilt
87,0,88,Yes,68,82,27,11,Healthy
52,0,138,Yes,34,31,32,15,Healthy
88,0,147,No,87,83,29,2,Blight
76,1,114,Yes,77,91,37,7,Healthy
84,0,81,Yes,99,112,34,10,Blight
69,0,100,No,70,66,38,15,Healthy
65,0,147,Yes,48,50,19,3,Healthy
66,0,148,No,100,96,22,19,Healthy
89,1,88,Yes,67,80,31,8,Healthy
45,0,82,No,54,53,23,13,Healthy
67,1,101,Yes,40,45,36,12,Rust
66,1,150,No,99,94,26,19,Healthy
80,0,133,Yes,85,90,38,18,Healthy
59,0,157,No,83,78,36,16,Healthy
68,1,126,No,75,71,20,9,Healthy
49,1,116,No,34,44,26,15,Healthy
68,0,130,Yes,74,74,20,6,Healthy
63,0,91,No,81,94,34,11,Healthy
95,0,83,No,38,53,26,13,Healthy
85,0,159,Yes,38,47,26,12,Wilt
76,1,157,No,57,67,20,4,Wilt
65,1,110,No,54,50,34,8,Healthy
58,1,150,Yes,98,96,24,16,Healthy
48,0,131,No,74,69,36,3,Healthy
67,1,139,No,70,67,37,10,Healthy
87,1,127,No,56,57,36,3,Healthy
77,1,109,Yes,91,102,32,12,Healthy
55,0,150,Yes,55,65,38,8,Healthy
49,1,153,No,46,57,22,2,Healthy
63,0,98,No,73,72,24,13,Healthy
95,0,129,No,62,62,32,12,Healthy
71,1,160,Yes,54,49,27,11,Wilt
75,0,130,Yes,76,80,19,13,Healthy
81,0,94,No,39,39,37,7,Rust
58,0,157,No,55,57,35,10,Healthy
76,0,143,Yes,77,74,19,20,Wilt
79,0,150,No,69,79,34,16,Wilt
61,0,100,No,42,55,23,15,Healthy
76,0,81,No,31,38,30,9,Healthy
75,0,87,No,68,73,23,19,Healthy
71,1,159,No,38,37,26,12,Wilt
57,1,103,No,36,40,35,12,Rust
87,0,110,Yes,58,63,19,7,Healthy
83,1,119,Yes,84,79,19,12,Blight
82,0,120,Yes,93,95,37,10,Blight
53,1,125,Yes,45,51,18,11,Healthy
87,0,151,No,49,54,33,4,Wilt
91,1,105,No,88,96,28,5,Blight
60,1,148,No,79,88,29,18,Healthy
88,1,135,Yes,95,94,32,20,Blight
72,1,100,Yes,71,80,23,10,Healthy
67,0,152,Yes,52,63,27,18,Healthy
72,0,152,Yes,43,54,25,14,Wilt
72,0,152,No,57,68,32,5,Wilt
49,0,85,No,58,70,37,18,Healthy
75,1,105,No,71,68,29,17,Healthy
81,1,154,No,60,59,36,15,Wilt
68,1,118,Yes,76,91,33,5,Healthy
81,0,108,No,74,80,29,10,Blight
79,1,159,Yes,99,110,21,12,Wilt
81,0,80,Yes,44,55,30,5,Healthy
76,0,83,Yes,84,83,28,8,Healthy
71,0,139,No,50,56,30,5,Healthy
56,0,122,No,62,75,27,5,Healthy
47,1,131,No,59,58,33,14,Healthy
60,0,87,No,77,92,37,8,Healthy
55,0,104,No,63,71,27,11,Healthy
67,0,116,No,70,71,28,14,Healthy
86,0,131,Yes,96,98,25,5,Blight
65,1,82,No,73,88,28,5,Healthy
63,0,84,Yes,35,49,26,3,Healthy
64,1,127,Yes,82,94,27,16,Healthy
52,1,80,Yes,72,73,21,12,Healthy
70,1,159,No,47,50,24,16,Healthy
81,1,110,No,92,97,20,19,Blight
64,1,95,Yes,72,69,29,16,Healthy
64,1,157,No,100,111,37,3,Healthy
62,1,87,No,87,94,24,20,Healthy
83,1,118,Yes,34,40,33,12,Healthy
67,0,139,Yes,55,68,36,11,Healthy
54,0,122,No,49,58,24,13,Healthy
57,0,81,No,92,90,38,20,Healthy
64,0,121,No,99,114,36,5,Healthy
79,1,159,Yes,69,71,24,12,Wilt
95,0,155,No,66,67,24,8,Wilt
48,0,122,No,62,71,35,6,Healthy
49,0,101,Yes,57,57,31,12,Healthy
85,0,148,No,79,91,31,13,Blight
62,1,123,No,67,63,24,7,Healthy
46,0,146,No,37,32,37,11,Rust
80,0,136,No,47,57,29,20,Healthy
67,1,129,No,39,38,26,18,Healthy
73,1,155,Yes,75,86,36,18,Wilt
77,1,85,No,41,55,27,13,Healthy
72,1,80,Yes,75,82,35,8,Healthy
57,0,143,No,84,83,29,10,Healthy
85,0,127,Yes,35,43,37,17,Rust
70,0,117,Yes,67,79,31,12,Healthy
66,1,119,Yes,86,101,38,17,Healthy
92,1,107,Yes,87,91,35,3,Blight
52,0,124,Yes,34,34,30,14,Healthy
64,0,104,No,44,53,29,5,Healthy
83,0,150,Yes,61,61,19,5,Wilt
80,1,93,Yes,38,33,37,5,Rust
45,1,123,Yes,44,47,23,18,Healthy
73,0,112,Yes,61,61,32,19,Healthy
75,1,82,No,91,94,29,10,Healthy
76,0,97,No,34,39,24,10,Healthy
54,0,148,No,48,61,26,7,Healthy
81,1,133,Yes,37,44,23,8,Healthy
58,1,139,No,89,93,20,18,Healthy
46,0,120,No,85,90,38,2,Healthy
51,0,120,Yes,60,58,20,18,Healthy
62,1,101,No,47,61,35,11,Rust
77,0,87,Yes,60,70,32,9,Healthy
88,0,151,Yes,31,28,26,12,Wilt
49,0,85,No,31,42,37,14,Rust
72,1,125,Yes,40,41,20,16,Healthy
79,0,154,No,33,40,21,3,Wilt
75,0,122,No,64,73,21,18,Healthy
82,1,111,No,86,90,25,6,Blight
54,1,126,No,68,70,31,6,Healthy
93,1,93,No,72,80,33,3,Blight
95,1,90,No,58,69,19,15,Healthy
84,0,85,No,48,43,32,18,Healthy
75,1,126,Yes,51,49,21,8,Healthy
51,0,124,Yes,56,58,32,12,Healthy
91,1,155,No,100,99,30,18,Blight
93,1,148,Yes,44,47,29,6,Wilt
77,0,112,Yes,50,53,24,6,Healthy
50,0,125,No,51,62,37,18,Healthy
89,0,126,No,44,50,34,13,Healthy
70,0,131,Yes,93,108,26,7,Healthy
80,0,119,Yes,34,44,29,5,Healthy
95,1,109,Yes,44,46,36,18,Rust
94,0,91,No,54,61,22,15,Healthy
55,1,144,No,64,65,37,4,Healthy
73,1,158,No,91,87,27,8,Wilt
73,1,82,No,52,56,32,10,Healthy
75,1,124,No,80,75,25,5,Healthy
65,1,155,No,55,63,24,10,Healthy
45,1,99,Yes,95,106,36,20,Healthy
54,0,84,Yes,76,85,33,18,Healthy
60,1,148,No,30,30,38,18,Rust
75,0,133,No,45,40,31,9,Healthy
46,1,151,No,67,78,29,8,Healthy
72,1,113,No,89,96,19,18,Healthy
70,0,125,No,74,71,35,8,Healthy
70,1,112,No,30,26,34,17,Healthy
46,0,104,No,52,66,33,7,Healthy
83,0,106,Yes,38,43,25,9,Healthy
66,1,89,Yes,78,78,33,13,Healthy
69,0,148,No,64,77,31,17,Healthy
45,1,87,No,87,90,27,19,Healthy
45,0,88,No,71,68,24,10,Healthy
89,0,126,Yes,41,45,31,12,Healthy
86,0,150,No,66,66,20,2,Wilt
54,0,136,No,67,66,34,18,Healthy
68,0,113,Yes,40,43,32,9,Healthy
77,1,106,No,84,96,35,14,Healthy
76,0,100,No,38,51,27,9,Healthy
65,1,108,Yes,93,108,20,17,Healthy
53,1,122,Yes,50,60,35,2,Healthy
86,0,143,Yes,68,66,22,5,Wilt
86,1,130,Yes,92,97,38,16,Blight
76,0,135,No,68,63,29,3,Healthy
52,1,151,Yes,80,80,21,13,Healthy
45,0,135,No,39,45,35,19,Rust
69,1,129,Yes,97,106,31,7,Healthy
64,1,133,No,78,80,35,19,Healthy
78,0,121,No,62,73,38,14,Healthy
63,1,130,No,91,90,22,14,Healthy
59,1,110,Yes,44,58,34,11,Healthy
69,1,108,Yes,58,63,28,5,Healthy
58,0,108,Yes,40,43,30,13,Healthy
66,1,131,Yes,66,61,25,6,Healthy
81,1,119,No,54,49,19,13,Healthy
63,0,97,Yes,42,54,31,20,Healthy
85,0,113,Yes,36,33,33,13,Healthy
79,0,86,No,91,91,20,15,Healthy
85,0,151,No,78,92,29,2,Blight
65,0,135,Yes,83,92,29,10,Healthy
75,0,126,No,72,68,21,2,Healthy
55,1,149,Yes,45,56,26,15,Healthy
52,1,140,Yes,81,92,30,20,Healthy
50,0,94,No,40,49,38,3,Rust
84,1,114,Yes,35,45,23,3,Healthy
67,0,89,Yes,75,74,37,12,Healthy
72,1,82,No,38,39,30,11,Healthy
95,0,148,No,49,56,31,7,Wilt
91,0,128,Yes,79,79,38,18,Blight
53,1,111,No,74,83,23,19,Healthy
